"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Vue", "HTML", "XML", "Markdown", "comment", "blank", "total"
"d:\repos\omap\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 6, 25
"d:\repos\omap\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\repos\omap\jsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\repos\omap\package-lock.json", "JSON", 0, 0, 12296, 0, 0, 0, 0, 0, 1, 12297
"d:\repos\omap\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 1, 58
"d:\repos\omap\public\Archive\events.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\Archive\gender.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\Archive\medals.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\empty.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\滑板公园赛-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\滑板公园赛-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\羽毛球单打-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\羽毛球单打-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\羽毛球双打-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\羽毛球双打-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\羽毛球混合双打.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\自由式小轮车-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\自由式小轮车-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\速度攀岩-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\速度攀岩-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\难度攀岩-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\难度攀岩-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\霹雳舞-女子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\AthletesList\霹雳舞-男子.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\public\USA.json", "JSON", 0, 0, 15107, 0, 0, 0, 0, 0, 0, 15107
"d:\repos\omap\public\data.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\repos\omap\public\icons\小轮车.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\repos\omap\public\icons\攀岩.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\repos\omap\public\icons\滑板.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\repos\omap\public\icons\羽毛球.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\repos\omap\public\icons\霹雳舞.svg", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\repos\omap\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"d:\repos\omap\public\world.zh.json", "JSON", 0, 0, 242, 0, 0, 0, 0, 0, 0, 242
"d:\repos\omap\public\zg.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\repos\omap\src\App.vue", "Vue", 0, 0, 0, 40, 0, 0, 0, 1, 5, 46
"d:\repos\omap\src\assets\background_topmenu.svg", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"d:\repos\omap\src\assets\emblem-oly.svg", "XML", 0, 0, 0, 0, 0, 68, 0, 1, 1, 70
"d:\repos\omap\src\assets\touch_logo.svg", "XML", 0, 0, 0, 0, 0, 186, 0, 1, 1, 188
"d:\repos\omap\src\assets\奥运会比赛路线.geojson", "JSON", 0, 0, 14321, 0, 0, 0, 0, 0, 0, 14321
"d:\repos\omap\src\assets\火炬传递路线.geojson", "JSON", 0, 0, 1229, 0, 0, 0, 0, 0, 0, 1229
"d:\repos\omap\src\components\AthleteList.vue", "Vue", 0, 0, 0, 44, 0, 0, 0, 1, 6, 51
"d:\repos\omap\src\components\AthleteMap.vue", "Vue", 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"d:\repos\omap\src\components\EventPlot.vue", "Vue", 0, 0, 0, 114, 0, 0, 0, 0, 8, 122
"d:\repos\omap\src\components\GenderPlot.vue", "Vue", 0, 0, 0, 137, 0, 0, 0, 0, 7, 144
"d:\repos\omap\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 23, 0, 0, 0, 1, 3, 27
"d:\repos\omap\src\components\MapboxMap.vue", "Vue", 0, 0, 0, 75, 0, 0, 0, 0, 14, 89
"d:\repos\omap\src\components\MedalMap.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 12, 111
"d:\repos\omap\src\components\RouteMap.vue", "Vue", 0, 0, 0, 93, 0, 0, 0, 0, 13, 106
"d:\repos\omap\src\components\TopMenu.vue", "Vue", 0, 0, 0, 117, 0, 0, 0, 0, 10, 127
"d:\repos\omap\src\components\TorchMap.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 16, 118
"d:\repos\omap\src\main.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 7, 17
"d:\repos\omap\src\router\index.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 4, 37
"d:\repos\omap\src\utils\readCsv.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"d:\repos\omap\src\views\AthletePage.vue", "Vue", 0, 0, 0, 304, 0, 0, 0, 2, 47, 353
"d:\repos\omap\src\views\HomePage.vue", "Vue", 0, 0, 0, 274, 0, 0, 0, 4, 43, 321
"d:\repos\omap\src\views\OlympicArchive.vue", "Vue", 0, 0, 0, 194, 0, 0, 0, 10, 48, 252
"d:\repos\omap\src\views\TorchRelay.vue", "Vue", 0, 0, 0, 131, 0, 0, 0, 2, 19, 152
"d:\repos\omap\vue.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 10, 3, 25
"Total", "-", 19, 67, 43286, 1857, 16, 408, 19, 37, 305, 46014
